120709B02	0.0
130709016	2.5
130709039	0.0
130709046	0.0
140709001	38.125
140709002	15.0
140709004	0.0
140709012	16.25
140709014	10.0
140709019	35.0
140709021	5.0
140709022	0.0
140709023	3.125
140709025	66.25
140709026	0.0
140709028	5.0
140709029	0.0
140709030	4.375
140709033	35.0
140709034	40.625
140709036	0.0
140709038	0.0
140709051	27.5
150709001	0.0
150709002	13.75
150709004	0.0
150709005	0.0
150709007	90.625
150709008	101.875
150709010	88.75
150709012	11.25
150709013	76.25
150709014	76.875
150709015	0.0
150709016	75.625
150709017	29.375
150709018	7.5
150709019	22.5
150709021	70.625
150709022	0.0
150709023	45.625
150709024	0.0
150709025	97.5
150709027	86.875
150709028	0.0
150709029	8.75
150709030	67.5
150709031	13.75
150709032	26.25
150709034	7.5
150709035	31.875
150709036	0.0
150709038	6.25
150709039	65.0
150709044	3.75
150709049	14.375
150709051	4.375
150709056	13.125
160211054	0.0
160709011	6.875
160709041	16.25
160709051	26.25
160709058	17.5
160709065	16.875
340709004	0.0
350709004	26.25
350709050	30.625
360709001	0.0
360709065	0.0
360709066	23.75
